creationDate|id|locationIP|browserUsed|content|length|CreatorPersonId|LocationCountryId|ParentPostId|ParentCommentId
2012-12-31T00:58:36.217+00:00|1168231108434|80.161.245.93|Firefox|thx|3|26388279066658|10||1168231108427
2012-12-31T04:47:00.284+00:00|1168231107444|41.74.150.41|Firefox|thx|3|35184372088850|97||1168231107434
2012-12-31T07:31:12.367+00:00|1168231108570|27.112.88.106|Internet Explorer|cool|4|24189255811109|1|1168231108563|
2012-12-31T07:37:37.136+00:00|1168231107557|31.185.10.92|Internet Explorer|About Saint George, tary saints. Many Patronages of Saint GeAbout Bulgaria, nd|79|30786325577731|56|1168231107554|
2012-12-31T09:24:29.242+00:00|1168231108573|115.186.113.189|Safari|ok|2|2199023255573|54|1168231108563|
2012-12-31T09:59:12.509+00:00|1168231108423|186.64.7.5|Firefox|maybe|5|26388279066658|61||1168231108422
2012-12-31T10:12:55.806+00:00|1168231108455|148.204.226.31|Chrome|About One Headlight, urnett. It was released on February 24, 1997 via Inte|74|32|53||1168231108453
2012-12-31T10:19:00.199+00:00|1168231108424|192.100.158.95|Internet Explorer|right|5|32985348833318|53||1168231108422
2012-12-31T14:45:37.335+00:00|1168231107521|41.74.150.41|Firefox|About Pope Pius IX, retti, was the longest-reigning elected PopeAbout Hannibal, Romans|87|35184372088850|97|1168231107520|
2012-12-31T14:55:35.991+00:00|1168231107523|1.88.156.174|Internet Explorer|thx|3|28587302322191|1||1168231107521
2012-12-31T15:04:14.544+00:00|1168231107524|27.4.90.237|Internet Explorer|thx|3|19791209299968|0||1168231107521
2012-12-31T15:27:53.506+00:00|1168231107525|115.186.113.189|Safari|About Pope Pius IX, uncil in 1869, which decreed papal infallibilAbout Sonic Attack, the|89|2199023255573|54||1168231107521
2012-12-31T16:00:19.766+00:00|1168231107528|27.131.221.93|Internet Explorer|roflol|6|21990232555526|1||1168231107525
2012-12-31T16:02:42.149+00:00|1168231108493|148.204.226.31|Chrome|fine|4|32|53|1099511631752|
2012-12-31T16:24:47.128+00:00|1168231107526|148.204.226.31|Chrome|I see|5|32|53||1168231107525
2012-12-31T17:33:09.220+00:00|1168231107527|27.122.45.252|Internet Explorer|I see|5|10995116277782|52||1168231107525
2012-12-31T18:32:27.364+00:00|1168231107529|193.104.227.215|Internet Explorer|About Josip Broz Tito,  Abdel Nasser of Egypt. Josip was born as the seventh ch|79|26388279066641|86||1168231107525
2012-12-31T18:50:48.897+00:00|1168231108435|196.29.42.107|Firefox|About Elizabeth I of England, beth's reign is known as the About Jimmy Page, he Engl|84|2199023255594|60||1168231108433
2012-12-31T18:56:44.838+00:00|1168231107522|148.204.226.31|Chrome|maybe|5|32|53||1168231107521
2012-12-31T19:56:38.219+00:00|1168231107530|91.223.132.248|Internet Explorer|ok|2|10995116277761|78||1168231107529
