operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery3b|1727612035684|1727612035684|309|0|16886
LdbcQuery6|1727612035684|1727612035994|114|0|16886
LdbcQuery9|1727612035684|1727612036109|79|20|16886
LdbcShortQuery1PersonProfile|1727612036188|1727612036188|10|1|-1
LdbcShortQuery1PersonProfile|1727612036198|1727612036199|9|1|-1
LdbcQuery7|1727612035684|1727612036208|342|20|16886
LdbcShortQuery1PersonProfile|1727612036550|1727612036551|9|1|-1
LdbcShortQuery1PersonProfile|1727612036560|1727612036561|9|1|-1
LdbcQuery1|1727612035684|1727612036570|272|1|16886
LdbcShortQuery1PersonProfile|1727612036842|1727612036842|8|1|-1
LdbcShortQuery1PersonProfile|1727612036850|1727612036852|8|1|-1
LdbcQuery8|1727612035684|1727612036860|349|20|16886
LdbcShortQuery1PersonProfile|1727612037209|1727612037209|9|1|-1
LdbcQuery2|1727612035684|1727612037218|41|0|16886
LdbcShortQuery1PersonProfile|1727612037259|1727612037260|9|1|-1
LdbcShortQuery1PersonProfile|1727612037269|1727612037269|7|1|-1
LdbcQuery3a|1727612035684|1727612037277|263|0|16886
LdbcShortQuery1PersonProfile|1727612037540|1727612037541|19|1|-1
LdbcShortQuery1PersonProfile|1727612037560|1727612037560|11|1|-1
LdbcShortQuery1PersonProfile|1727612037571|1727612037572|11|1|-1
LdbcQuery2|1727612037373|1727612037583|12|0|33772
LdbcShortQuery1PersonProfile|1727612037595|1727612037596|9|1|-1
LdbcShortQuery1PersonProfile|1727612037605|1727612037605|8|1|-1
LdbcQuery3a|1727612037373|1727612037614|261|0|33772
LdbcShortQuery1PersonProfile|1727612037875|1727612037875|19|1|-1
LdbcShortQuery1PersonProfile|1727612037894|1727612037895|20|1|-1
LdbcShortQuery1PersonProfile|1727612037915|1727612037915|20|1|-1
LdbcQuery9|1727612037373|1727612037936|118|20|33772
LdbcShortQuery1PersonProfile|1727612038054|1727612038054|8|1|-1
LdbcShortQuery1PersonProfile|1727612038062|1727612038063|8|1|-1
LdbcShortQuery1PersonProfile|1727612038071|1727612038071|8|1|-1
LdbcQuery5|1727612037373|1727612038079|335|10|33772
LdbcShortQuery1PersonProfile|1727612038414|1727612038415|9|1|-1
LdbcShortQuery1PersonProfile|1727612038424|1727612038424|8|1|-1
LdbcQuery10|1727612037373|1727612038432|63|2|33772
LdbcShortQuery1PersonProfile|1727612038495|1727612038495|8|1|-1
LdbcShortQuery1PersonProfile|1727612038503|1727612038504|8|1|-1
LdbcQuery4|1727612037373|1727612038513|9|0|33772
LdbcShortQuery1PersonProfile|1727612038522|1727612038523|7|1|-1
LdbcShortQuery1PersonProfile|1727612038530|1727612038530|7|1|-1
LdbcShortQuery1PersonProfile|1727612038537|1727612038537|7|1|-1
LdbcShortQuery1PersonProfile|1727612038544|1727612038545|6|1|-1
LdbcQuery6|1727612037373|1727612038552|9|0|33772
LdbcShortQuery1PersonProfile|1727612038561|1727612038561|6|1|-1
LdbcShortQuery1PersonProfile|1727612038567|1727612038568|7|1|-1
LdbcShortQuery1PersonProfile|1727612038575|1727612038575|7|1|-1
LdbcShortQuery1PersonProfile|1727612038582|1727612038583|6|1|-1
LdbcShortQuery1PersonProfile|1727612038589|1727612038590|7|1|-1
