creationDate|id|locationIP|browserUsed|content|length|CreatorPersonId|LocationCountryId|ParentPostId|ParentCommentId
2012-12-27T00:00:04.560+00:00|1168231493126|202.56.180.175|Firefox|great|5|10995116278091|59|1168231493125|
2012-12-27T00:00:11.308+00:00|1168231484797|27.50.7.3|Firefox|About Alchemy: Dire Straits Live,  Brett Whiteley. Alchemy was remastered and About Our Day Will Come, on, which was a #1 hit in 1|130|21990232556183|0||1168231484789
2012-12-27T00:00:32.297+00:00|1168231287492|27.123.9.54|Opera|About Wolfgang Amadeus Mozart, stanze and two sons. Mozart learned voraciouAbout Kyrgyz|87|30786325579250|52|549755996861|
2012-12-27T00:00:49.164+00:00|1168231172974|192.207.200.111|Internet Explorer|About Richard Wagner, ding March (Bridal Chorus) from the opera LohAbout Leon Trotsky, f|89|15393162789809|49|1168231172969|
2012-12-27T00:01:02.699+00:00|1168231153593|101.0.40.93|Chrome|maybe|5|10995116279084|0||1168231153591
2012-12-27T00:01:05.579+00:00|1168231172976|190.6.168.130|Internet Explorer|good|4|32985348833861|70||1168231172974
2012-12-27T00:02:27.690+00:00|1168231507901|190.13.191.8|Firefox|great|5|28587302323340|69||1168231507899
2012-12-27T00:03:11.060+00:00|1168231459948|1.10.3.89|Safari|About Shakira, se coffee. He was planning on going to Brazil to track her down but it turned out that she was living in London, England. A frien|144|28587302323720|1|962073029735|
2012-12-27T00:04:21.137+00:00|1168231363186|94.246.200.242|Chrome|thanks|6|21990232556856|13|1168231363185|
2012-12-27T00:04:45.187+00:00|1168231370815|109.74.45.255|Chrome|I see|5|35184372089012|109||1168231370814
2012-12-27T00:05:11.130+00:00|1168231107657|41.222.21.97|Firefox|ok|2|37383395344878|110|137438956601|
2012-12-27T00:05:27.240+00:00|1168231312969|213.55.114.227|Internet Explorer|About Johnny Cash, prolific recorded muAbout Anthony Hopkins, star on the Holly|79|1403|76||1168231312967
2012-12-27T00:05:35.170+00:00|1168231322467|196.43.214.8|Internet Explorer|About Miley Cyrus, an adult image in 2009 with the release of The Time of Our Li|80|8796093023144|84||1168231322464
2012-12-27T00:05:50.955+00:00|1168231412224|132.247.65.175|Internet Explorer|no way!|7|37383395344865|53|824634028543|
2012-12-27T00:06:06.082+00:00|1168231395077|46.41.253.33|Chrome|great|5|30786325578797|95||1168231395067
2012-12-27T00:06:14.901+00:00|1168231110619|31.192.66.181|Firefox|roflol|6|8796093022726|72||1168231110616
2012-12-27T00:07:01.906+00:00|1168231309852|213.55.86.56|Safari|About Mustafa Kemal Atatürk, kara, he defeated the forces sent by the AlliAbout F. Scott|89|35184372089362|76|1168231309841|
2012-12-27T00:07:08.715+00:00|1168231346405|31.220.130.214|Chrome|About Desiderius Erasmus, on period, but while he was critical of thAbout William F|83|2199023256752|95||1168231346404
2012-12-27T00:07:27.717+00:00|1168231248307|41.222.21.97|Firefox|ok|2|37383395344878|110||1099511771559
2012-12-27T00:07:39.418+00:00|1168231427066|31.209.191.168|Firefox|About Adolf Hitler, , in his view, betrayed it. The 1920s, duringAbout Aung San Suu Kyi,|88|4398046511357|50||1168231427063
2012-12-27T00:07:44.047+00:00|1168231248850|41.222.21.97|Firefox|no|2|37383395344878|110|412317004741|
2012-12-27T00:07:56.796+00:00|1168231287075|64.46.31.36|Internet Explorer|LOL|3|15393162789023|66||1168231287068
2012-12-27T00:08:52.141+00:00|1168231155439|148.220.68.17|Firefox|About Little Richard, tions, accompanied by a combination of boogie-woogiAbout Words of Love, ections. A cover version by The Diamonds reached nuAbout I|152|32985348833410|53||1168231155433
2012-12-27T00:08:59.531+00:00|1168231507165|81.246.52.46|Opera|no|2|8796093023070|64||1168231507163
2012-12-27T00:10:23.881+00:00|1168231495846|203.81.162.99|Chrome|LOL|3|8796093023371|65|1168231495845|
2012-12-27T00:11:41.289+00:00|1168231464133|103.3.22.175|Chrome|About Heinz Guderian,  panzer forces in several campaigns, became About Woody Guthrie,|86|6597069766802|85||1168231464127
2012-12-27T00:13:14.740+00:00|1168231374795|1.4.15.147|Firefox|I see|5|21990232556176|1|687195037641|
2012-12-27T00:13:38.660+00:00|1168231470753|132.247.65.175|Internet Explorer|About Bertolt Brecht, atre practitiAbout Khalid Sheikh Mohammed, onfessed to aAbout Kanye West, subsequent pr|109|37383395344865|53||1168231470745
2012-12-27T00:13:41.966+00:00|1168231466075|1.4.5.93|Internet Explorer|About Beyoncé Knowles, th solo album, 4About Calvin Coolidge, ssor's adminis|76|21990232555639|1||1168231466070
2012-12-27T00:14:40.073+00:00|1168231204734|190.25.117.132|Chrome|About William Shakespeare,  varying quality and accuracy during his lifAbout Anthology|86|30786325578905|70|1168231204733|
2012-12-27T00:14:41.377+00:00|1168231122834|200.0.70.44|Chrome|About Hannibal,  for the office of suffete. He enacted political and finan|74|35184372090502|49|1168231122820|
2012-12-27T00:14:43.051+00:00|1168231347984|53.96.187.150|Firefox|I see|5|10995116279197|50||1168231347978
2012-12-27T00:14:43.290+00:00|1168231271668|27.247.102.139|Chrome|About Baltic states, red Baltic geographically, not linguisticaAbout Joseph Smith,|83|35184372090069|94|1168231271666|
2012-12-27T00:15:12.839+00:00|1168231127299|41.208.119.49|Chrome|cool|4|28587302323557|22||1168231127290
2012-12-27T00:15:45.543+00:00|1168231315285|41.190.230.117|Internet Explorer|About Straight Outta Compton, ed to give birth to this then-new sub-genre of hip hop. It has been considered groundbreaking by music writer|139|2199023255686|90|1168231315282|
2012-12-27T00:15:52.024+00:00|1168231464138|192.111.229.219|Chrome|About Heinz Guderian,  mechanization in the Wehrmacht (GermanAbout California|77|19791209300651|49||1168231464133
2012-12-27T00:15:55.230+00:00|1168231462063|27.54.154.214|Internet Explorer|right|5|28587302323752|1||1168231462061
2012-12-27T00:16:00.131+00:00|1168231186543|1.89.247.64|Chrome|About Jean-Paul Sartre, 20th century French philosophy and MarxiAbout Plato, is|79|28587302323361|1|1168231186542|
2012-12-27T00:16:13.467+00:00|1168231186544|103.1.199.73|Internet Explorer|good|4|32985348833688|0||1168231186543
2012-12-27T00:16:16.838+00:00|1168231508717|163.60.196.82|Chrome|no way!|7|4398046511908|57||1168231508714
2012-12-27T00:16:26.368+00:00|1168231204740|190.25.117.132|Chrome|fine|4|30786325578905|70||1168231204734
2012-12-27T00:16:27.455+00:00|1168231287965|202.56.186.226|Chrome|About Saddam Hussein,  A leading member of the revAbout You Are What You Is, Are Wh|83|30786325577918|59||824633904281
2012-12-27T00:16:39.953+00:00|1168231300841|27.100.11.251|Internet Explorer|LOL|3|4398046512803|52|1168231300837|
2012-12-27T00:16:57.252+00:00|1168231399762|61.4.67.186|Firefox|About Allied-occupied Germany, es into their predesignated zones in BeAbout|76|28587302322767|65||1168231399761
2012-12-27T00:17:29.866+00:00|1168231488012|198.184.161.3|Chrome|About California Love, is is perhaps 2Pac's best-known song and his most successful, re|87|2199023256981|49||1168231488008
2012-12-27T00:17:50.462+00:00|1168231347672|41.209.166.97|Safari|fine|4|30786325577990|60||1168231347670
2012-12-27T00:18:44.040+00:00|1168231321219|213.55.86.56|Safari|About Plutarch, ast of DelphiAbout Charles II of England, rrie Monarch,About|76|35184372089362|76||1168231321218
2012-12-27T00:19:03.333+00:00|1168231458105|14.102.131.253|Internet Explorer|ok|2|10995116277889|1||1168231458100
2012-12-27T00:19:48.460+00:00|1168231379662|27.50.7.3|Firefox|About Galileo Galilei, s heresy, it explores his religiosity as weAbout George Strai|84|21990232556183|0|1168231379658|
2012-12-27T00:20:10.656+00:00|1168231195674|202.56.186.226|Chrome|About Mali, nstitution and the establishment of Mali as a democratic, multi-party|82|30786325577918|59||1168231195671
2012-12-27T00:20:30.312+00:00|1168231250278|14.1.6.61|Firefox|thx|3|37383395345239|52||962072820066
2012-12-27T00:20:34.609+00:00|1168231299484|103.1.112.205|Internet Explorer|cool|4|35184372089126|0||1168231299482
2012-12-27T00:20:35.138+00:00|1168231298111|103.1.112.205|Internet Explorer|About Maximilian I, Holy Roman Emperor, hold the throne of both León-Castile an|79|35184372089126|0|1099511821363|
2012-12-27T00:21:06.230+00:00|1168231112327|1.2.5.238|Firefox|I see|5|448|1|1168231112324|
2012-12-27T00:21:16.609+00:00|1168231353010|213.150.173.217|Internet Explorer|roflol|6|8796093023537|104||1099511876271
2012-12-27T00:22:04.183+00:00|1168231298114|58.145.172.72|Chrome|About Almohad Caliphate, Aragon, Navarre, and Portugal. Nearly all of the Moorish dominion|90|8796093022968|51||1168231298111
2012-12-27T00:22:14.657+00:00|1168231191157|27.255.209.56|Chrome|thx|3|37383395344993|0|687194854000|
2012-12-27T00:22:34.601+00:00|1168231270072|1.181.35.253|Internet Explorer|LOL|3|6597069767675|1||1168231270071
2012-12-27T00:22:57.276+00:00|1168231454366|49.128.108.54|Firefox|no way!|7|37383395344579|0||1168231454363
2012-12-27T00:22:57.824+00:00|1168231307453|1.113.8.81|Firefox|duh|3|28587302322307|52|755914447026|
2012-12-27T00:23:02.774+00:00|1168231347685|27.124.84.134|Opera|good|4|37383395345711|51|893353440725|
2012-12-27T00:23:24.082+00:00|1168231415455|190.103.39.49|Internet Explorer|I see|5|24189255812238|108||1168231415447
2012-12-27T00:23:33.402+00:00|1168231509035|31.24.100.159|Firefox|great|5|13194139533343|50||1168231509033
2012-12-27T00:24:41.362+00:00|1168231497055|158.97.15.115|Internet Explorer|About Edward Elgar, described as the first composer to take the gramophoneAbout Clark Gable, . He also star|107|19791209300501|53||1168231497050
2012-12-27T00:25:25.046+00:00|1168231371479|31.28.55.177|Internet Explorer|fine|4|10995116278912|56||1168231371477
2012-12-27T00:25:38.367+00:00|1168231454495|49.128.108.54|Firefox|About Charles Dickens, recognized by critics and scholars. His novels and|74|37383395344579|0||1168231454491
2012-12-27T00:26:02.901+00:00|1168231288106|94.126.172.0|Firefox|About Jerry Garcia, participated in a variety of side projects, including the Saunders-Garcia Band (with longtime friend Merl Saunders), Jerry Garcia Band, Old and in t|168|37383395345764|93|687194950948|
2012-12-27T00:26:26.421+00:00|1168231110622|1.1.55.29|Firefox|About George W. Bush,  W. Bush, winner ofAbout You Found Me, rom their eponymousAbout Relight My Fire,  topped t|112|24189255811441|1||1168231110616
2012-12-27T00:26:45.034+00:00|1168231389506|31.114.103.51|Firefox|fine|4|15393162790355|31|1168231389504|
2012-12-27T00:27:13.828+00:00|1168231195678|14.137.131.208|Internet Explorer|great|5|35184372089406|62||1168231195674
2012-12-27T00:27:28.571+00:00|1168231138524|148.230.139.205|Internet Explorer|maybe|5|15393162790417|53||1168231138523
2012-12-27T00:27:38.653+00:00|1168231240615|112.78.45.135|Chrome|great|5|37383395344948|51||1168231240613
2012-12-27T00:28:49.587+00:00|1168231315284|14.139.48.174|Internet Explorer|roflol|6|17592186044525|0|1168231315282|
2012-12-27T00:29:36.438+00:00|1168231256885|41.203.143.154|Chrome|LOL|3|30786325578527|90||1168231256877
2012-12-27T00:29:45.626+00:00|1168231107566|41.222.21.97|Firefox|thanks|6|37383395344878|110||1099511630823
2012-12-27T00:29:51.614+00:00|1168231347681|196.192.42.239|Chrome|About William Faulkner, anked his 1929 novel The Sound and the Fury sAbout Soviet Union,|89|26388279067874|84||1168231347670
2012-12-27T00:30:08.820+00:00|1168231261187|113.203.226.106|Chrome|yes|3|17592186045848|54||1168231261172
2012-12-27T00:30:18.345+00:00|1168231271676|103.3.252.6|Firefox|About John Steinbeck, an author of twenty-seven books, includiAbout Baltic stat|79|2199023256377|58||1168231271668
2012-12-27T00:31:18.763+00:00|1168231271526|190.14.247.27|Chrome|About Celine Dion, rge family from Charlemagne, About Son of a Preacher Man,  less po|85|26388279067773|70||1168231271525
2012-12-27T00:31:26.095+00:00|1168231110624|1.94.191.85|Chrome|LOL|3|13194139533919|1||1168231110622
2012-12-27T00:32:02.232+00:00|1168231484788|46.191.64.103|Opera|good|4|13194139534879|63||1168231484784
2012-12-27T00:32:20.857+00:00|1168231473409|27.0.1.207|Chrome|no way!|7|13194139533439|52|1168231473402|
2012-12-27T00:32:22.267+00:00|1168231495847|1.202.167.179|Safari|About Trajan, pire ended with the attack of the capital Ctesiphon and the a|75|17592186044609|1|1168231495845|
2012-12-27T00:32:39.466+00:00|1168231111422|27.34.232.26|Internet Explorer|About Vices & Virtues, ist Brendon Urie and drummer Spencer Smith, following the departu|88|15393162789912|1||1168231111421
2012-12-27T00:32:46.942+00:00|1168231287969|31.130.177.55|Chrome|thx|3|2199023257212|80||1168231287965
2012-12-27T00:33:03.363+00:00|1168231155446|148.240.21.73|Internet Explorer|About Louis XVI of France,  to Hugh Capet, the foAbout Pablo Picasso, through his child|87|17592186045169|53||1168231155439
2012-12-27T00:33:28.754+00:00|1168231195683|199.103.82.92|Firefox|ok|2|6597069766967|48||1168231195674
2012-12-27T00:33:43.618+00:00|1168231346672|27.124.84.134|Opera|LOL|3|37383395345711|51|1168231346667|
2012-12-27T00:33:48.624+00:00|1168231162797|49.238.80.137|Internet Explorer|good|4|17592186045913|98||1168231162795
2012-12-27T00:34:14.238+00:00|1168231300370|103.1.112.205|Internet Explorer|good|4|35184372089126|0|1168231300368|
2012-12-27T00:35:54.603+00:00|1168231300842|190.108.133.151|Chrome|fine|4|2199023256031|69|1168231300837|
2012-12-27T00:35:56.249+00:00|1168231444204|109.200.162.181|Internet Explorer|yes|3|26388279067210|109||1168231444201
2012-12-27T00:36:02.020+00:00|1168231473385|39.124.83.2|Firefox|good|4|21990232556159|98||1168231473384
2012-12-27T00:36:22.697+00:00|1168231482929|192.160.111.235|Internet Explorer|no way!|7|910|49|1168231482917|
2012-12-27T00:36:43.497+00:00|1168231435124|190.3.235.67|Firefox|About South Vietnam, munist zones at the 17th parallel. The United States was an ally of S|90|17592186045203|70||1168231435121
2012-12-27T00:36:56.062+00:00|1168231435125|61.4.67.186|Firefox|About South Vietnam, g the Vietnam War. South Vietnam's origins caAbout Finer Feelings,|88|28587302322767|65||1168231435124
2012-12-27T00:37:23.784+00:00|1168231204806|27.99.232.171|Internet Explorer|thx|3|37383395345027|1||1030792251327
2012-12-27T00:38:01.464+00:00|1168231342034|132.247.65.175|Internet Explorer|duh|3|37383395344865|53||618475528143
2012-12-27T00:38:28.326+00:00|1168231456206|198.50.19.91|Opera|yes|3|37383395345920|49||1168231456201
2012-12-27T00:39:53.909+00:00|1168231240874|186.221.210.202|Firefox|no way!|7|6597069768067|49||1168231240869
2012-12-27T00:40:23.979+00:00|1168231508824|61.12.51.122|Firefox|thanks|6|24189255812078|0||1168231508823
2012-12-27T00:41:09.075+00:00|1168231494615|61.17.43.155|Internet Explorer|fine|4|35184372089685|0||1168231494613
2012-12-27T00:41:37.950+00:00|1168231439091|49.15.114.196|Chrome|thx|3|4398046511661|0||1168231439084
2012-12-27T00:43:31.015+00:00|1168231132908|24.30.213.203|Firefox|yes|3|26388279066944|57|1030792179434|
2012-12-27T00:43:45.316+00:00|1168231463029|31.12.67.140|Firefox|great|5|28587302322293|64||1168231463026
2012-12-27T00:44:07.236+00:00|1168231262360|187.178.30.48|Firefox|I see|5|19791209301322|53|1168231262358|
2012-12-27T00:44:09.083+00:00|1168231329296|46.30.180.73|Chrome|About Miguel de Cervantes, s elevated to cardinal the next year. By tAbout Sergei P|83|8796093023290|105|1168231329292|
2012-12-27T00:44:14.387+00:00|1168231279708|41.222.21.97|Firefox|About Maria Theresa,  (13 May 1717 – 29 NoveAbout Joni Mitchell,  melding it with her in|88|37383395344878|110|824633896026|
2012-12-27T00:45:02.698+00:00|1168231370070|103.1.113.60|Chrome|About Kevin Rudd, ign Minister, following speculation about a pAbout Pope Paul VI, gnitud|89|1130|0|1168231370061|
2012-12-27T00:45:03.526+00:00|1168231248423|41.222.21.97|Firefox|maybe|5|37383395344878|110|1099511771681|
2012-12-27T00:45:20.222+00:00|1168231131119|61.4.77.45|Firefox|About Rainer Schüttler,  German professional tennis player. He About Sukarno|76|4398046512195|65|618475317229|
2012-12-27T00:45:31.903+00:00|1168231322616|31.47.245.161|Internet Explorer|I see|5|6597069767047|50|1168231322608|
2012-12-27T00:45:44.877+00:00|1168231396317|41.222.21.97|Firefox|fine|4|37383395344878|110||755914535895
2012-12-27T00:45:59.956+00:00|1168231131121|53.96.187.150|Firefox|good|4|10995116279197|50||1168231131119
2012-12-27T00:46:05.797+00:00|1168231196770|202.56.186.226|Chrome|good|4|30786325577918|59|1168231196768|
2012-12-27T00:46:36.254+00:00|1168231263014|46.22.43.77|Firefox|About Georg Wilhelm Friedrich Hegel, Idealism. His historicist and idealist aAb|79|32985348834254|50|1168231263013|
2012-12-27T00:46:54.131+00:00|1168231178768|1.187.234.7|Chrome|great|5|37383395346002|0|1099511702030|
2012-12-27T00:46:57.597+00:00|1168231427075|192.223.88.63|Chrome|About John Calvin, vin and Farel's ideas, and both men were expelled. At the invitation of Martin Bucer, Calvin proceeded to Strasbourg, where he became the mi|159|37383395345948|49||1168231427066
2012-12-27T00:48:02.098+00:00|1168231145725|196.1.98.252|Firefox|roflol|6|35184372088985|96|41207|
2012-12-27T00:48:19.874+00:00|1168231412221|132.247.65.175|Internet Explorer|maybe|5|37383395344865|53||1168231412211
2012-12-27T00:48:20.512+00:00|1168231458402|1.202.49.184|Firefox|About Michelangelo, al Renaissance mAbout Boris Yeltsin, oris Yeltsin's sAbout Orson Welles, beth and The CraAbout Nas, ed during the MiAbout Arab League,|154|6597069767182|1||893353551456
2012-12-27T00:48:27.862+00:00|1168231261570|49.156.23.213|Firefox|About Saxe-Weimar, Weimar-Eisenach, which was merged into the new state of Th|77|30786325579197|51|1168231261568|
2012-12-27T00:48:44.639+00:00|1168231177558|212.98.177.36|Firefox|LOL|3|8796093022784|63||1168231177556
2012-12-27T00:49:43.421+00:00|1168231309855|80.246.15.78|Firefox|maybe|5|8796093022606|60||1168231309852
2012-12-27T00:49:53.675+00:00|1168231203041|46.19.35.182|Firefox|About Genghis Khan, y, Saunders and H.H. Howorth have argued that the Mongol empire cAbout One After 909, iant on the opening lin|129|37383395344721|89||962072772831
2012-12-27T00:50:18.110+00:00|1168231503933|175.111.190.30|Chrome|yes|3|21990232556531|54||1168231503918
2012-12-27T00:50:26.916+00:00|1168231168868|41.222.21.97|Firefox|About Simón Bolívar, ary Islands that settled in the country. About Duchy of Savo|81|37383395344878|110|1099511692130|
2012-12-27T00:51:08.047+00:00|1168231491859|91.216.206.97|Firefox|LOL|3|30786325578598|78|1168231491853|
2012-12-27T00:51:17.472+00:00|1168231203043|31.207.73.51|Internet Explorer|good|4|17592186045748|107||1168231203041
2012-12-27T00:51:38.739+00:00|1168231175796|125.213.195.183|Internet Explorer|maybe|5|4398046512162|59||1168231175795
