operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery2|1726162212334|1726162212335|754|0|16886
LdbcQuery2|1726162212503|1726162213089|10|0|33772
LdbcQuery2|1726162212672|1726162213100|9|0|50658
LdbcQuery2|1726162212841|1726162213110|9|0|67544
LdbcQuery2|1726162213009|1726162213120|9|0|84430
LdbcQuery2|1726162213178|1726162213178|26|2|101316
LdbcQuery2|1726162213347|1726162213347|14|2|118202
LdbcQuery2|1726162213516|1726162213517|26|4|135088
LdbcQuery2|1726162213685|1726162213686|30|4|151974
LdbcQuery2|1726162213854|1726162213854|17|13|168860
