creationDate|id|locationIP|browserUsed|content|length|CreatorPersonId|LocationCountryId|ParentPostId|ParentCommentId
2012-12-22T01:34:11.666+00:00|1168231106715|61.16.136.118|Chrome|About Hamid Karzai, 2001 International Conference on AfghanistaAbout The Unauthorized|85|8796093022244|0||1168231106712
2012-12-22T03:34:29.280+00:00|1168231107579|31.24.100.159|Firefox|About Mongolia, the independence, sovereignty, and territorial integrity of Mongolia. It consists of three branches: general purpose forces, border defense forces, and internal|177|26388279066655|50|1168231107578|
2012-12-22T05:32:17.217+00:00|1168231108559|49.206.89.61|Safari|good|4|32985348833329|0||1168231108556
2012-12-22T16:13:46.008+00:00|1168231106718|203.215.63.48|Firefox|no way!|7|2199023255557|65||1168231106715
2012-12-22T17:23:20.244+00:00|1168231107537|46.154.44.101|Firefox|About Justin Timberlake, record label Tennman Records, fashion label William Rast, a|84|15393162788877|105|1168231107531|
2012-12-22T19:37:38.900+00:00|1168231106716|49.206.89.61|Safari|LOL|3|32985348833329|0||1168231106715
2012-12-22T19:57:32.400+00:00|1168231108446|197.220.203.36|Firefox|thx|3|19791209299987|110|1168231108442|
2012-12-22T20:22:20.790+00:00|1168231107533|24.38.139.231|Firefox|good|4|10995116277783|57|1168231107531|
2012-12-22T20:42:22.363+00:00|1168231107535|91.223.132.248|Internet Explorer|good|4|10995116277761|78|1168231107531|
2012-12-22T21:16:42.843+00:00|1168231108501|180.222.139.188|Internet Explorer|great|5|26388279066632|59|1099511631763|
2012-12-22T22:32:14.632+00:00|1168231107534|31.209.42.207|Internet Explorer|great|5|13194139533342|101|1168231107531|
2012-12-22T23:09:16.746+00:00|1168231107538|196.1.135.241|Internet Explorer|About Vol. 3... Life and Times of S. Carter, Gotti. The album debuted at number one on the US Billboard About Hannib|116|30786325577740|71|1168231107531|
2012-12-22T23:24:53.290+00:00|1168231107532|31.209.42.207|Internet Explorer|roflol|6|13194139533342|101|1168231107531|
