creationDate|id|locationIP|browserUsed|content|length|CreatorPersonId|LocationCountryId|ParentPostId|ParentCommentId
2012-12-01T00:00:19.187+00:00|1168231498031|88.87.228.173|Firefox|yes|3|21990232556858|79||1168231498029
2012-12-01T00:00:23.320+00:00|1168231244872|27.116.34.188|Internet Explorer|About William Shakespeare, t included all About Aldous Huxley, New World and aAbout Abrah|89|28587302323330|0||1168231244864
2012-12-01T00:01:38.895+00:00|1168231122340|200.12.153.135|Firefox|About Morrissey,  also noted for his unusuaAbout Before I Self Destruct, ck|75|30786325579147|34||1168231122339
2012-12-01T00:02:07.737+00:00|1168231481208|103.1.113.60|Chrome|About Joe Cocker, p Where We Belong, a duet heAbout John Travolta, ulp Fiction, an|82|1130|0||1168231481195
2012-12-01T00:02:44.040+00:00|1168231454982|31.222.0.232|Internet Explorer|right|5|30786325578073|72||1168231454973
2012-12-01T00:03:05.697+00:00|1168231376660|58.146.124.102|Chrome|About Isabella I of Castile,  the governmental About Jamaica, the United States About Soc|89|15393162790214|0|1168231376655|
2012-12-01T00:03:06.791+00:00|1168231225879|27.109.120.222|Firefox|About Rumi, iterary and cultural languagAbout Ghana,  among others. Non-Akan statA|82|10995116279272|52||1168231225877
2012-12-01T00:03:19.579+00:00|1168231271654|203.81.167.247|Firefox|About Fool in the Rain,  Rain is a song on English rock band LAbout Joseph|74|37383395345452|65||1099511794916
2012-12-01T00:04:23.828+00:00|1168231418196|77.240.35.27|Internet Explorer|About William the Conqueror, on, Robert, and his second surviving son, About Snoop|82|4398046512405|82|755914557769|
2012-12-01T00:05:08.578+00:00|1168231316157|31.40.10.147|Chrome|About Louis XVI of France, n 1793. Succeeding Louis XV, his unpopulAbout Paul t|79|26388279067426|56|412317072054|
2012-12-01T00:05:16.954+00:00|1168231376669|41.75.247.144|Firefox|About James II of England, ade one serious About Jamaica, ton is the countAbout Bahrain, o|90|24189255811971|110||1168231376660
2012-12-01T00:06:06.492+00:00|1168231122343|89.189.86.224|Internet Explorer|great|5|35184372090028|109||1168231122340
2012-12-01T00:06:20.607+00:00|1168231131642|204.79.235.255|Firefox|good|4|35184372089188|50|68719503859|
2012-12-01T00:07:29.736+00:00|1168231481199|27.159.212.93|Firefox|fine|4|26388279067637|1||1168231481195
2012-12-01T00:08:19.540+00:00|1168231481200|49.248.233.101|Internet Explorer|I see|5|6597069767080|0||1168231481195
2012-12-01T00:08:39.225+00:00|1168231299447|125.212.106.222|Chrome|About Maximilian I, Holy Roman Emperor, had ruled jointly with hisAbout Clif|76|4398046512629|55||1168231299440
2012-12-01T00:08:55.883+00:00|1168231261816|31.29.113.218|Internet Explorer|About Jerome,  Catholicism. He is also recognized as a saint by the Eastern Orthodox Chur|89|6597069768249|77|1168231261814|
2012-12-01T00:09:13.077+00:00|1168231361340|111.221.42.44|Chrome|roflol|6|6597069767970|51||1168231361331
2012-12-01T00:11:40.061+00:00|1168231257325|61.11.47.20|Safari|cool|4|13194139534942|0||1099511780587
2012-12-01T00:12:27.868+00:00|1168231137968|187.116.3.13|Chrome|About Jimi Hendrix, erienced, was inducAbout The Joshua Tree, he album received cAbout Kos|90|35184372090040|49|893353231018|
2012-12-01T00:13:05.010+00:00|1168231119089|41.222.16.206|Firefox|thx|3|35184372089609|110||618475305195
2012-12-01T00:13:55.888+00:00|1168231328545|202.0.110.39|Chrome|About Y Yo Sigo Aquí, r. The video of the song was shot entirely in Mexico.|76|13194139534610|54||962072898335
2012-12-01T00:14:17.001+00:00|1168231440320|125.212.106.222|Firefox|great|5|4398046512629|55|962073010109|
2012-12-01T00:14:49.010+00:00|1168231261820|31.170.104.16|Firefox|About James K. Polk, e issuance of the first postage stamps in the United States. He promised to serve only one term and did not run|132|26388279067078|50||1168231261816
2012-12-01T00:15:42.029+00:00|1168231319127|82.150.47.191|Firefox|duh|3|19791209300164|79|824633935444|
2012-12-01T00:15:49.282+00:00|1168231429096|49.15.114.196|Chrome|right|5|4398046511661|0||1168231429085
2012-12-01T00:18:16.882+00:00|1168231301386|41.138.47.146|Chrome|no way!|7|28587302323163|90||1168231301372
2012-12-01T00:18:52.283+00:00|1168231348432|27.62.14.221|Internet Explorer|About United Nations Transitional Administration in East Timor, hed the transitional|85|30786325579199|0|962072918223|
2012-12-01T00:19:06.936+00:00|1168231170167|27.116.17.45|Internet Explorer|duh|3|10995116279045|0||1168231170166
2012-12-01T00:20:11.765+00:00|1168231257929|84.54.139.46|Opera|About Carl Linnaeus, d between 1735 and 17About Will Ferrell, ights, Stranger than About Ludwig van Beethoven,  and perform, even afAbout Ukra|142|19791209300925|7||1168231257916
2012-12-01T00:21:09.381+00:00|1168231287620|1.186.158.57|Internet Explorer|thx|3|35184372090464|0|343597566783|
2012-12-01T00:24:35.266+00:00|1168231416188|61.11.46.44|Internet Explorer|duh|3|32985348834680|0||1168231416185
2012-12-01T00:25:11.246+00:00|1168231203816|27.61.225.146|Internet Explorer|I see|5|37383395345531|0|412316959719|
2012-12-01T00:25:18.390+00:00|1168231328480|41.78.117.83|Chrome|no|2|8796093023876|90||1168231328475
2012-12-01T00:26:04.254+00:00|1168231317204|124.217.53.142|Firefox|About Franz Kafka, cs, includingAbout Giacomo Puccini, ibed by EncycAbout Phi|77|15393162789466|55||1030792363726
2012-12-01T00:29:50.659+00:00|1168231418254|1.10.11.40|Firefox|maybe|5|24189255812761|1||1168231418248
2012-12-01T00:30:02.066+00:00|1168231235725|14.102.131.78|Firefox|yes|3|37383395345882|1||1099511758988
2012-12-01T00:31:11.385+00:00|1168231301946|86.101.253.253|Chrome|fine|4|24189255811930|79||1168231301941
2012-12-01T00:31:49.033+00:00|1168231418203|77.240.35.27|Internet Explorer|About Franz Liszt, ng a wide array of music by transcribing iAbout Afghanistan, or|82|4398046512405|82||1030792464721
2012-12-01T00:32:22.564+00:00|1168231170102|101.209.151.210|Firefox|good|4|21990232556466|0|206158495781|
2012-12-01T00:32:36.451+00:00|1168231257917|27.113.187.245|Chrome|fine|4|8796093023087|1|1168231257911|
2012-12-01T00:34:30.806+00:00|1168231140134|198.17.232.7|Internet Explorer|About Franz Liszt, ng the nineteenth century for his virtuosiAbout Come Away with M|83|32985348834826|49|1168231140133|
2012-12-01T00:34:34.742+00:00|1168231238537|14.102.131.78|Firefox|great|5|37383395345882|1||1030792285061
2012-12-01T00:35:03.781+00:00|1168231140144|49.205.141.65|Chrome|I see|5|19791209301531|0||1168231140134
2012-12-01T00:35:30.405+00:00|1168231465950|49.238.36.185|Chrome|About Joan of Arc, ed in film, theAbout Charles Darwin, well as a mountAbout Pete Samp|86|30786325578533|0||1168231465947
2012-12-01T00:37:04.896+00:00|1168231361335|61.95.235.59|Internet Explorer|About Janet Jackson, ariah Carey. She About Dean Martin, bers of the Rat PAbout The|84|1646|0||1168231361331
2012-12-01T00:37:50.857+00:00|1168231465955|61.12.51.122|Firefox|no way!|7|24189255812078|0||1168231465950
2012-12-01T00:39:01.144+00:00|1168231361336|58.181.98.234|Firefox|thx|3|24189255811738|54||1168231361335
2012-12-01T00:40:26.708+00:00|1168231460504|112.196.252.7|Chrome|maybe|5|24189255812574|55||1168231460502
2012-12-01T00:43:53.503+00:00|1168231377142|24.72.152.125|Firefox|no way!|7|37383395344866|57|1099511900404|
2012-12-01T00:45:27.817+00:00|1168231144456|14.192.50.165|Chrome|ok|2|8796093022260|52||1168231144446
2012-12-01T00:46:58.297+00:00|1168231416789|1.0.11.180|Chrome|no way!|7|17592186045577|1||1030792463313
2012-12-01T00:48:13.843+00:00|1168231232412|27.112.89.16|Firefox|yes|3|35184372089511|1|343597511579|
2012-12-01T00:48:44.007+00:00|1168231118798|31.3.99.114|Internet Explorer|no|2|28587302322848|89||893353211846
2012-12-01T00:48:58.131+00:00|1168231140140|109.200.162.181|Internet Explorer|yes|3|26388279067210|109||1168231140134
2012-12-01T00:50:38.232+00:00|1168231220748|31.220.137.196|Chrome|duh|3|28587302322395|50||1168231220744
2012-12-01T00:51:05.391+00:00|1168231490147|1.203.42.172|Firefox|About Mahmud of Ghazni, ly Yamīn ad-Dawlah Abdul-Qāṣim Maḥmūd IbAbout British|78|6597069767539|1||962073059938
2012-12-01T00:52:15.251+00:00|1168231427114|204.79.171.111|Firefox|About Never Too Far/Hero Medley, 100, in light of all of Carey's live appearancAbout Ghazn|90|17592186046075|50||1168231427099
