operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery2|1724125910464|1724125910464|1135|0|16886
LdbcQuery2|1724125910633|1724125911601|20|0|33772
LdbcQuery2|1724125910802|1724125911622|17|0|50658
LdbcQuery2|1724125910971|1724125911639|15|0|67544
LdbcQuery2|1724125911139|1724125911655|13|0|84430
LdbcQuery2|1724125911308|1724125911669|101|2|101316
LdbcQuery2|1724125911477|1724125911770|15|2|118202
LdbcQuery2|1724125911646|1724125911785|16|4|135088
LdbcQuery2|1724125911815|1724125911815|15|4|151974
LdbcQuery2|1724125911984|1724125911985|25|13|168860
