operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery2|1726162224305|1726162224305|25|13|185746
LdbcQuery2|1726162224474|1726162224474|20|20|202632
LdbcQuery2|1726162224643|1726162224643|23|20|219518
LdbcQuery2|1726162224812|1726162224812|30|20|236404
LdbcQuery2|1726162224980|1726162224980|13|20|253290
LdbcQuery2|1726162225149|1726162225149|16|20|270176
LdbcQuery2|1726162225318|1726162225318|21|20|287062
LdbcQuery2|1726162225487|1726162225487|16|20|303948
LdbcQuery2|1726162225656|1726162225657|12|20|320834
LdbcQuery2|1726162225825|1726162225825|21|20|337720
LdbcQuery2|1726162225994|1726162225994|40|16|354606
LdbcQuery2|1726162226162|1726162226162|41|20|371492
LdbcQuery2|1726162226331|1726162226331|41|20|388378
LdbcQuery2|1726162226500|1726162226500|43|20|405264
LdbcQuery2|1726162226669|1726162226669|29|20|422150
LdbcQuery2|1726162226838|1726162226838|32|20|439036
LdbcQuery2|1726162227007|1726162227007|33|20|455922
LdbcQuery2|1726162227176|1726162227176|34|20|472808
LdbcQuery2|1726162227344|1726162227344|32|20|489694
LdbcQuery2|1726162227513|1726162227513|30|20|506580
LdbcQuery2|1726162227682|1726162227682|30|20|523466
LdbcQuery2|1726162227851|1726162227852|40|20|540352
LdbcQuery2|1726162228020|1726162228020|21|20|557238
LdbcQuery2|1726162228189|1726162228189|36|20|574124
LdbcQuery2|1726162228358|1726162228358|34|20|591010
